Name,Energy,Relative E,Boltzmann Weight
3_Hydroxycarbofuran_1.log,-822.192214,0.0,0.9999221832031133
3_Hydroxycarbofuran_2.log,-822.183281,23.453591500183848,7.781679688662521e-05
Acephate_1.log,-1178.778218,6.505989000289105,0.06757899115946521
Acephate_2.log,-1178.759456,55.765620000090166,1.5845093266192412e-10
Acephate_3.log,-1178.780696,0.0,0.9324210085236329
Acephate_4.log,-1178.759456,55.765620000090166,1.5845093266192412e-10
Acetamiprid_1.log,-1067.118969,0.0,0.9999821902695264
Acetamiprid_2.log,-1067.075391,114.4140390000656,9.02636849764097e-21
Acetamiprid_3.log,-1067.1076,29.84930950015439,5.896817897956772e-06
Acetamiprid_4.log,-1067.107608,29.82830550020742,5.9469934366496805e-06
Acetamiprid_5.log,-1067.107611,29.82042900052579,5.965919138840437e-06
Acibenzolar_S_methyl_1.log,-1289.833521,5.279880500101399,0.10622599158766013
Acibenzolar_S_methyl_2.log,-1289.835532,0.0,0.893770777886818
Acibenzolar_S_methyl_3.log,-1289.820463,39.56365950010377,1.0470575121857891e-07
Acibenzolar_S_methyl_4.log,-1289.820358,39.8393370003032,9.368583073931429e-08
Acibenzolar_S_methyl_5.log,-1289.823641,31.219820500276,3.0321339398994547e-06
Alanycarb_1.log,-1924.489582,30.293018999929586,4.70192566424e-06
Alanycarb_2.log,-1924.490091,28.956639500020287,8.06119445013596e-06
Alanycarb_3.log,-1924.50112,0.0,0.9536409138597772
Alanycarb_4.log,-1924.496443,12.279463499741269,0.0067315521589170705
Alanycarb_5.log,-1924.497444,9.651337999511497,0.019433142648412133
Alanycarb_6.log,-1924.490657,27.470606499593373,1.4680512038009074e-05
Alanycarb_7.log,-1924.492386,22.931117000010545,9.162745532865927e-05
Alanycarb_8.log,-1924.490665,27.449602499646403,1.4805427307997329e-05
Alanycarb_9.log,-1924.497474,9.57257299971036,0.02006051481810454
Aldicarb_1.log,-933.520748,10.223696999857339,0.007653943307568599
Aldicarb_2.log,-933.517154,19.659743999912394,0.00017012211311476393
Aldicarb_3.log,-933.524642,0.0,0.473151335538294
Aldicarb_4.log,-933.524642,0.0,0.473151335538294
Aldicarb_5.log,-933.521775,7.527308499799915,0.02271288116619546
Aldicarb_6.log,-933.521774,7.529933999793286,0.022688838344534678
Aldicarb_7.log,-933.518069,17.257411500008004,0.00044836464139618175
Aldicarb_8.log,-933.515272,24.600934999973447,2.317935060215284e-05
Aldicarb_sulfone_1.log,-1083.913852,5.345518000234165,0.042186126487596384
Aldicarb_sulfone_2.log,-1083.910036,15.364426000011576,0.0007411947150939945
Aldicarb_sulfone_3.log,-1083.912791,8.131173500066211,0.013713356169478783
Aldicarb_sulfone_4.log,-1083.913943,5.106597499941927,0.04645438611878323
Aldicarb_sulfone_5.log,-1083.915163,1.9034875002683975,0.16911709462558466
Aldicarb_sulfone_6.log,-1083.915885,0.007876500278598542,0.36331581307305555
Aldicarb_sulfone_7.log,-1083.915888,0.0,0.3644720288104074
Aldicarb_sulfoxide_1.log,-1008.724196,0.0,0.9189782047833411
Aldicarb_sulfoxide_2.log,-1008.721903,6.020271500023,0.08102124619686916
Aldicarb_sulfoxide_3.log,-1008.707081,44.93543249997316,1.2329781063377094e-08
Aldicarb_sulfoxide_4.log,-1008.710399,36.22402349987948,4.1412238783167336e-07
Aldicarb_sulfoxide_5.log,-1008.708351,41.6010475000341,4.732760650153363e-08
Aldicarb_sulfoxide_6.log,-1008.703983,53.06923150003274,4.6342018766393386e-10
Aldicarb_sulfoxide_7.log,-1008.703546,54.21657500012083,2.9172187474767644e-10
Aldicarb_sulfoxide_8.log,-1008.700742,61.57847700003987,1.496990792526441e-11
Aldicarb_sulfoxide_9.log,-1008.708779,40.477333499886356,7.446990222225678e-08
Ametryn_1.log,-1025.424149,3.415775500032055,0.11284145133904706
Ametryn_10.log,-1025.367811,151.3311944996875,1.3765741874483914e-27
Ametryn_11.log,-1025.419438,15.784506000144916,0.0007683517701574392
Ametryn_2.log,-1025.416484,23.540232999666614,3.363682929267119e-05
Ametryn_3.log,-1025.418291,18.79595450000386,0.00022802211307444304
Ametryn_4.log,-1025.424357,2.869671499619926,0.14065072570994458
Ametryn_5.log,-1025.41657,23.314439999639717,3.684446771582103e-05
Ametryn_6.log,-1025.419438,15.784506000144916,0.0007683517701574392
Ametryn_7.log,-1025.42545,0.0,0.44759666634300344
Ametryn_8.log,-1025.424273,3.0902134996600807,0.1286781111885577
Ametryn_9.log,-1025.424527,2.423336500149844,0.1683978384690495
Aminocarb_1.log,-688.969736,46.90193200008247,6.069238766364459e-09
Aminocarb_2.log,-688.970135,45.854357500040976,9.261074918556118e-09
Aminocarb_3.log,-688.9876,0.0,0.9999999846696863
Amitraz_1.log,-902.296414,20.478899999933617,0.0002374383431088034
Amitraz_2.log,-902.304214,0.0,0.9189674432968531
Amitraz_3.log,-902.301087,8.209938499867349,0.03349505086629223
Amitraz_4.log,-902.301408,7.367152999905784,0.047057659534809934
Amitraz_5.log,-902.295755,22.209104500042542,0.00011814954031000551
Amitraz_6.log,-902.295753,22.214355500029285,0.00011789953725528742
Amitraz_7.log,-902.292996,29.452858999961393,6.35888137080954e-06
Azoxystrobin_1.log,-1389.096369,68.61481699988542,4.969709925363509e-13
Azoxystrobin_10.log,-1389.105369,44.985316999847214,6.855541112124426e-09
Azoxystrobin_11.log,-1389.122503,0.0,0.5213519175938728
Azoxystrobin_12.log,-1389.098043,64.2197300002365,2.9262891048450706e-12
Azoxystrobin_13.log,-1389.110713,30.95464500005005,1.9683846028531654e-06
Azoxystrobin_14.log,-1389.110747,30.865378000275427,2.0405576371606482e-06
Azoxystrobin_2.log,-1389.109609,33.853196999895545,6.113718621227828e-07
Azoxystrobin_3.log,-1389.114591,20.77295600008665,0.00011963694175234481
Azoxystrobin_4.log,-1389.122365,0.36231900027917163,0.45045914809595916
Azoxystrobin_5.log,-1389.097994,64.34837950021017,2.778297866579905e-12
Azoxystrobin_6.log,-1389.100391,58.05505600027959,3.5182099700130696e-11
Azoxystrobin_7.log,-1389.111478,28.946137500046802,4.425734618574603e-06
Azoxystrobin_8.log,-1389.119621,7.566690999998968,0.024632223461237408
Azoxystrobin_9.log,-1389.117759,12.455372000192597,0.003428020961532898
Benalaxyl_1.log,-1056.587775,0.010501999973484999,0.33251005555010904
Benalaxyl_2.log,-1056.587778,0.0026254996948864573,0.3335682350876385
Benalaxyl_3.log,-1056.587779,0.0,0.33392170936225246
Bendiocarb_1.log,-782.890977,0.0,0.998796292654356
Bendiocarb_2.log,-782.884631,16.661423000020307,0.0012037073456440915
Benfuracarb_1.log,-1664.116335,30.272014999982616,4.967720742322693e-06
Benfuracarb_10.log,-1664.116705,29.300580000047376,7.350980670094452e-06
Benfuracarb_2.log,-1664.116567,29.662898999729578,6.351403686017512e-06
Benfuracarb_3.log,-1664.116558,29.686528499968404,6.291149504639074e-06
Benfuracarb_4.log,-1664.115972,31.225071499665773,3.382118677193297e-06
Benfuracarb_5.log,-1664.117786,26.462414499750935,2.3097795533530784e-05
Benfuracarb_6.log,-1664.121236,17.40443949993528,0.0008921946894951465
Benfuracarb_7.log,-1664.127865,0.0,0.9990484442256405
Benfuracarb_8.log,-1664.114289,35.643787999553524,5.689353802907409e-07
Benfuracarb_9.log,-1664.116705,29.300580000047376,7.350980670094452e-06
