Name,Energy,Relative E,Boltzmann Weight
3_Hydroxycarbofuran_1.log,-822.192214,0.0,0.9999033234236046
3_Hydroxycarbofuran_2.log,-822.183281,23.453591500183848,9.667657639536989e-05
Acephate_1.log,-1178.778218,6.505989000289105,0.0714727971304947
Acephate_2.log,-1178.759456,55.765620000090166,2.643566140224286e-10
Acephate_3.log,-1178.780696,0.0,0.928527202340792
Acephate_4.log,-1178.759456,55.765620000090166,2.643566140224286e-10
Acetamiprid_1.log,-1067.118969,0.0,0.9999765281532961
Acetamiprid_2.log,-1067.075391,114.4140390000656,2.6020862717575818e-20
Acetamiprid_3.log,-1067.1076,29.84930950015439,7.772749886781036e-06
Acetamiprid_4.log,-1067.107608,29.82830550020742,7.837364120055138e-06
Acetamiprid_5.log,-1067.107611,29.82042900052579,7.861732697145184e-06
Acibenzolar_S_methyl_1.log,-1289.833521,5.279880500101399,0.1109546294809582
Acibenzolar_S_methyl_2.log,-1289.835532,0.0,0.8890410592380646
Acibenzolar_S_methyl_3.log,-1289.820463,39.56365950010377,1.5019864187337287e-07
Acibenzolar_S_methyl_4.log,-1289.820358,39.8393370003032,1.3473402473892264e-07
Acibenzolar_S_methyl_5.log,-1289.823641,31.219820500276,4.026348310693815e-06
Alanycarb_1.log,-1924.489582,30.293018999929586,6.1952774668667375e-06
Alanycarb_2.log,-1924.490091,28.956639500020287,1.0490923306775848e-05
Alanycarb_3.log,-1924.50112,0.0,0.9493519512883555
Alanycarb_4.log,-1924.496443,12.279463499741269,0.007507696698272068
Alanycarb_5.log,-1924.497444,9.651337999511497,0.021153027850106244
Alanycarb_6.log,-1924.490657,27.470606499593373,1.8844447013600348e-05
Alanycarb_7.log,-1924.492386,22.931117000010545,0.00011277799324914559
Alanycarb_8.log,-1924.490665,27.449602499646403,1.9001099358393925e-05
Alanycarb_9.log,-1924.497474,9.57257299971036,0.02182001442287138
Aldicarb_1.log,-933.520748,10.223696999857339,0.008378625611546803
Aldicarb_2.log,-933.517154,19.659743999912394,0.0002032217673292159
Aldicarb_3.log,-933.524642,0.0,0.47119455972373747
Aldicarb_4.log,-933.524642,0.0,0.47119455972373747
Aldicarb_5.log,-933.521775,7.527308499799915,0.024250652771951525
Aldicarb_6.log,-933.521774,7.529933999793286,0.024225570703204972
Aldicarb_7.log,-933.518069,17.257411500008004,0.0005238250158936475
Aldicarb_8.log,-933.515272,24.600934999973447,2.8984682598983202e-05
Aldicarb_sulfone_1.log,-1083.913852,5.345518000234165,0.043947260421544294
Aldicarb_sulfone_2.log,-1083.910036,15.364426000011576,0.0008471470527855831
Aldicarb_sulfone_3.log,-1083.912791,8.131173500066211,0.014658887139024478
Aldicarb_sulfone_4.log,-1083.913943,5.106597499941927,0.04828683055895397
Aldicarb_sulfone_5.log,-1083.915163,1.9034875002683975,0.1706540952798705
Aldicarb_sulfone_6.log,-1083.915885,0.007876500278598542,0.3602428413964454
Aldicarb_sulfone_7.log,-1083.915888,0.0,0.3613629381513758
Aldicarb_sulfoxide_1.log,-1008.724196,0.0,0.9147320149852137
Aldicarb_sulfoxide_2.log,-1008.721903,6.020271500023,0.08526721175674601
Aldicarb_sulfoxide_3.log,-1008.707081,44.93543249997316,1.8600820459974758e-08
Aldicarb_sulfoxide_4.log,-1008.710399,36.22402349987948,5.763625232749449e-07
Aldicarb_sulfoxide_5.log,-1008.708351,41.6010475000341,6.922945866765021e-08
Aldicarb_sulfoxide_6.log,-1008.703983,53.06923150003274,7.537721319204286e-10
Aldicarb_sulfoxide_7.log,-1008.703546,54.21657500012083,4.795623809348609e-10
Aldicarb_sulfoxide_8.log,-1008.700742,61.57847700003987,2.6343987217428344e-11
Aldicarb_sulfoxide_9.log,-1008.708779,40.477333499886356,1.0780555934640391e-07
Ametryn_1.log,-1025.424149,3.415775500032055,0.11471434519414049
Ametryn_10.log,-1025.367811,151.3311944996875,5.5004254492778025e-27
Ametryn_11.log,-1025.419438,15.784506000144916,0.0008758244087278776
Ametryn_2.log,-1025.416484,23.540232999666614,4.119466572155895e-05
Ametryn_3.log,-1025.418291,18.79595450000386,0.0002672615160255101
Ametryn_4.log,-1025.424357,2.869671499619926,0.14226443481185538
Ametryn_5.log,-1025.41657,23.314439999639717,4.502884361009133e-05
Ametryn_6.log,-1025.419438,15.784506000144916,0.0008758244087278776
Ametryn_7.log,-1025.42545,0.0,0.44086789522017406
Ametryn_8.log,-1025.424273,3.0902134996600807,0.13042035102794852
Ametryn_9.log,-1025.424527,2.423336500149844,0.16962783990306862
Aminocarb_1.log,-688.969736,46.90193200008247,9.367534982413739e-09
Aminocarb_2.log,-688.970135,45.854357500040976,1.4156062433681217e-08
Aminocarb_3.log,-688.9876,0.0,0.9999999764764026
Amitraz_1.log,-902.296414,20.478899999933617,0.0002852491118083907
Amitraz_2.log,-902.304214,0.0,0.9134236730630912
Amitraz_3.log,-902.301087,8.209938499867349,0.03592089618534904
Amitraz_4.log,-902.301408,7.367152999905784,0.050073716872339746
Amitraz_5.log,-902.295755,22.209104500042542,0.00014423109133000723
Amitraz_6.log,-902.295753,22.214355500029285,0.00014393289372176786
Amitraz_7.log,-902.292996,29.452858999961393,8.300782359678871e-06
Azoxystrobin_1.log,-1389.096369,68.61481699988542,9.34240339002259e-13
Azoxystrobin_10.log,-1389.105369,44.985316999847214,1.0356339146504556e-08
Azoxystrobin_11.log,-1389.122503,0.0,0.5194059906631798
Azoxystrobin_12.log,-1389.098043,64.2197300002365,5.281796665788721e-12
Azoxystrobin_13.log,-1389.110713,30.95464500005005,2.6114849936655807e-06
Azoxystrobin_14.log,-1389.110747,30.865378000275427,2.7050026340517757e-06
Azoxystrobin_2.log,-1389.109609,33.853196999895545,8.33166545212224e-07
Azoxystrobin_3.log,-1389.114591,20.77295600008665,0.00014445226460728158
Azoxystrobin_4.log,-1389.122365,0.36231900027917163,0.45028501084391553
Azoxystrobin_5.log,-1389.097994,64.34837950021017,5.020653784564702e-12
Azoxystrobin_6.log,-1389.100391,58.05505600027959,5.998068178553626e-11
Azoxystrobin_7.log,-1389.111478,28.946137500046802,5.76356353157359e-06
Azoxystrobin_8.log,-1389.119621,7.566690999998968,0.02632018114712058
Azoxystrobin_9.log,-1389.117759,12.455372000192597,0.0038324414359159377
Benalaxyl_1.log,-1056.587775,0.010501999973484999,0.3325289304240847
Benalaxyl_2.log,-1056.587778,0.0026254996948864573,0.3335628568012048
Benalaxyl_3.log,-1056.587779,0.0,0.33390821277471044
Bendiocarb_1.log,-782.890977,0.0,0.9985959153981512
Bendiocarb_2.log,-782.884631,16.661423000020307,0.0014040846018488489
Benfuracarb_1.log,-1664.116335,30.272014999982616,6.572640756679854e-06
Benfuracarb_10.log,-1664.116705,29.300580000047376,9.638822117293426e-06
Benfuracarb_2.log,-1664.116567,29.662898999729578,8.356116796203388e-06
Benfuracarb_3.log,-1664.116558,29.686528499968404,8.27865441882556e-06
Benfuracarb_4.log,-1664.115972,31.225071499665773,4.514417704035015e-06
Benfuracarb_5.log,-1664.117786,26.462414499750935,2.9501432180837176e-05
Benfuracarb_6.log,-1664.121236,17.40443949993528,0.001047923786604798
Benfuracarb_7.log,-1664.127865,0.0,0.9988747842026668
Benfuracarb_8.log,-1664.114289,35.643787999553524,7.9110463707357e-07
Benfuracarb_9.log,-1664.116705,29.300580000047376,9.638822117293426e-06
Benzoximate_1.log,-1587.931006,75.27045950009517,1.0175717126378494e-13
Benzoximate_2.log,-1587.945058,38.376933500115115,2.1026372513459594e-07
Benzoximate_3.log,-1587.94244,45.250492500073165,1.400206872655439e-08
Benzoximate_4.log,-1587.956924,7.22275049997188,0.04524175263771769
Benzoximate_5.log,-1587.959675,0.0,0.7796217599110303
Benzoximate_6.log,-1587.958232,3.7885965002847115,0.17513626318535633
